fixture_id,name,halftime,minute,Successful.Passes_home,Successful.Passes_away,Ball.Possession_home,Ball.Possession_away,Goals_home,Goals_away,Attacks_home,Attacks_away,Yellowcards_home,Yellowcards_away,Redcards_home,Redcards_away,Penalties_home,Penalties_away
19155076,Parma vs Fiorentina,1st-half,16,17,82,23,77,0,0,9,14,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,17,17,82,23,77,0,0,9,16,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,18,17,91,21,79,0,0,10,17,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,19,17,91,21,79,0,0,10,19,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,20,23,98,24,76,0,0,13,19,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,21,24,98,25,75,0,0,13,19,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,22,24,98,25,75,1,0,13,19,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,23,27,98,26,74,1,0,14,19,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,24,27,106,25,75,1,0,14,19,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,25,30,112,26,74,1,0,15,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,26,30,112,26,74,1,0,15,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,27,35,112,28,72,1,0,15,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,28,35,112,28,72,1,0,15,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,29,35,112,28,72,1,0,16,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,30,43,114,30,70,1,0,17,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,31,46,116,32,68,1,0,20,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,32,50,122,32,68,1,0,22,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,33,56,128,33,67,1,0,22,20,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,34,57,144,32,68,1,0,22,22,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,35,57,144,32,68,1,0,22,22,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,36,58,149,32,68,1,0,23,23,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,37,58,149,32,68,1,0,23,26,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,38,58,149,32,68,1,0,23,28,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,39,59,161,31,69,1,0,23,29,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,40,63,161,32,68,1,0,25,29,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,41,63,161,32,68,1,0,25,32,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,42,67,172,32,68,1,0,25,33,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,43,67,174,32,68,1,0,25,33,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,44,67,179,31,69,1,0,25,33,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,45,67,179,31,69,1,0,25,36,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,46,73,183,32,68,1,0,29,36,1,1,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,47,77,183,34,66,1,0,32,36,1,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,48,83,183,35,65,1,0,36,36,1,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,49,85,183,35,65,1,0,37,36,1,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,50,99,184,38,62,1,0,38,36,1,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,51,102,185,38,62,1,0,39,37,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,52,102,192,38,62,1,0,39,39,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,53,102,192,38,62,1,0,40,42,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,54,102,192,38,62,1,0,40,42,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,55,108,207,38,62,1,0,42,43,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,56,117,210,39,61,1,0,45,45,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,57,117,210,39,61,1,0,47,46,2,1,0,0,0,0
